2022-04-25 14:04:14.297  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] nsionDisbursementMicroserviceApplication : Starting PensionDisbursementMicroserviceApplication using Java 1.8.0_141 on LTIN310484 with PID 16836 (C:\Users\894566\OneDrive - Cognizant\Desktop\FSE0\Pension management\PensionManagementSystem-master\PensionManagementSystem-master\pension-disbursement-microservice\target\classes started by 894566 in C:\Users\894566\OneDrive - Cognizant\Desktop\FSE0\Pension management\PensionManagementSystem-master\PensionManagementSystem-master\pension-disbursement-microservice)
2022-04-25 14:04:14.320  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] nsionDisbursementMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-04-25 14:04:14.414  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-04-25 14:04:14.415  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-04-25 14:04:16.173  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-04-25 14:04:16.205  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 16 ms. Found 0 JPA repository interfaces.
2022-04-25 14:04:16.825  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=5c3759df-218f-38ad-b0df-eaad1930406b
2022-04-25 14:04:18.590  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9083 (http)
2022-04-25 14:04:18.609  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-04-25 14:04:18.609  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-04-25 14:04:18.800  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-04-25 14:04:18.803  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4387 ms
2022-04-25 14:04:18.948  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-04-25 14:04:19.359  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-04-25 14:04:19.374  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:4e48726c-6001-4b33-b329-6f3c9d9b89e3'
2022-04-25 14:04:20.591  WARN [PensionDisburesmentService,,] 16836 --- [restartedMain] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": connect timed out; nested exception is java.net.SocketTimeoutException: connect timed out}]
2022-04-25 14:04:21.487  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-04-25 14:04:21.590  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-04-25 14:04:21.837  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-04-25 14:04:22.028  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-04-25 14:04:22.380  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
